Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Albania,,,,,,,,,157.60032,,,,,,,,,,,,,,
Algeria,,,,,,170.80766,,,,,,,,,,,,832.42282,,,,,
American Samoa,,,85.80009,413.23026,155.70395,104.44046,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,48.31265,,,,,18.9549,,,,,,
Argentina,716.68837,688.24271,692.16084,718.54634,766.08326,819.90571,892.21337,974.80924,1036.21916,1035.80158,1123.91484,1181.04552,1203.98202,1198.98362,1207.83968,1231.48661,1260.70106,1212.45726,1227.40422,1231.51703,1256.26717,1283.79869,
Armenia,,,,,,,,,,,,,,,,,,,,,,,1219.93327
Australia,3491.52553,,3778.88037,,4098.51458,,4294.91102,,4405.35978,,4594.13738,,,,,,,,,,,,
Austria,,,2993.21641,,3187.8887,3471.6408,3537.75651,3824.59663,4153.93901,4158.86463,4380.4341,4431.66678,4721.93581,4783.21388,5010.50717,5074.4303,5401.30362,5416.8937,5683.24278,5959.54993,5829.83733,6341.73871,
Azerbaijan,,,,,,,,,,,,,,,,,,,,1694.46991,1712.16743,1728.76393,1690.6737
Bahrain,,,,,,,,,,,,,,,383.96416,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,1433.59248,1393.54477,1381.79486
Belgium,2981.54534,3134.07935,2968.05728,2978.98081,3107.45033,3161.08429,3306.58971,3420.57563,3440.15988,3551.33319,3767.16881,3910.0779,4147.20829,4188.33729,4562.40585,4741.86029,4811.19473,4757.92552,5032.36782,5280.4219,5410.83206,6581.89232,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,
Bolivia (Plurinational State of),70.45605,121.11614,117.87637,,,,,,,142.69091,162.37237,,,,,,,49.83286,,58.31368,,62.37397,
Bosnia and Herzegovina,,,,55.25296,57.20622,61.47947,164.63454,184.46035,,,,,155.65493,227.61596,283.18203,353.12317,406.14245,470.16902,458.03728,449.22435,443.8526,442.83083,535.00491
Botswana,,,,,,,,,,,,,163.21632,173.94931,,,,,,,,,
Brazil,295.39965,337.66823,398.78635,423.76935,483.9042,509.99376,544.22701,556.04721,591.60137,626.43869,687.11104,738.61648,789.24593,839.21041,888.46387,,,,,,,,
Brunei Darussalam,,,287.68114,279.36544,285.1993,,,,,,,,,,,,,,,,,,513.56362
Bulgaria,1165.94486,1142.76915,1152.26646,1206.86259,1245.48737,1282.18062,1326.84732,1447.00884,1479.23055,1563.64055,1441.65783,1572.46519,1503.20869,1645.56699,1783.22009,1939.14416,2198.80821,2092.08124,2310.61903,2391.02454,2377.55574,2339.25243,
Burkina Faso,,,,,,,,,,,46.7534,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,20.12697,,,,,,23.19512,,,,
Cambodia,,,17.90931,,,,,,,,,,,,,30.77437,,,,,,,
Canada,3534.27412,3713.39408,3720.42203,3915.01044,4104.82627,4263.78367,4345.23306,4628.8723,4758.97992,4496.9596,4696.43912,4835.43373,4683.61282,4678.26158,4595.63768,4582.37923,4428.17296,4467.15612,4758.10247,4894.20732,5076.24404,,
Cabo Verde,,97.35708,127.74111,,,,,,,,,47.68999,,,117.86893,,,,,,,,
Chad,,,,,,,,,,,,,,,,,58.7568,,,,,,
Chile,,,,,,,,338.16301,359.49821,290.14443,321.51182,355.70616,393.88468,338.19309,431.09734,459.82988,500.26783,499.76146,529.07151,512.46593,518.66667,,
China,551.80724,585.47457,634.76435,670.9215,716.47762,859.97612,934.93071,1080.5736,1201.11872,863.44302,901.12598,974.42187,1031.22366,1081.96454,1104.08308,1164.94031,1210.74113,1237.74195,1319.35596,1485.81754,1601.92217,1687.05679,
"China, Hong Kong Special Administrative Region",1155.55924,1350.46192,1558.05988,1964.82044,2113.82988,2601.46117,2638.46164,2802.9543,2625.56572,2725.78321,3049.51881,3023.50412,3123.00932,3294.86322,3497.27283,3472.30976,3651.50815,3709.26503,3972.15278,4235.05701,4349.29412,4585.46178,4808.9576
"China, Macao Special Administrative Region",,262.77433,236.87594,322.10674,521.10208,617.15206,554.54022,384.82715,383.43676,559.55982,635.82901,595.73895,719.48426,896.71381,1016.8178,1261.10181,2614.08864,3176.7011,3471.42943,3628.89214,3866.36797,4131.50059,3544.53014
Colombia,,,,,,,,,,,,,,57.95972,58.93096,70.47698,90.92885,89.86123,,,,,
Congo,33.3003,,,,,,,,,,,,,,,,,,,,,,128.24961
Costa Rica,,,,131.8527,108.74025,122.95395,,,260.57172,338.63501,380.55006,404.63094,335.76139,353.44841,565.72636,493.01919,523.11853,378.87941,343.77862,,365.69417,399.35022,
Côte d'Ivoire,,,,,,67.65147,,,,,,,,,,,,,,,,,
Croatia,1479.43504,1472.74721,1907.40115,1310.69776,1604.27339,1291.00263,1306.27164,1389.21535,1522.31497,1579.49658,1623.34398,1569.97642,1540.13694,1511.09144,1423.55496,1490.76729,1837.36663,1856.81189,1912.06832,2127.93472,2214.7751,2330.90633,
Cuba,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,438.81436,477.38582,616.5499,686.54374,806.48173,930.33788,1005.35878,1054.20653,1038.21427,1095.4538,1104.81725,1091.99036,1022.02872,1026.70353,1051.28205,1010.61619,1058.56405,1209.63685,1408.18017,1657.72538,1739.85507,1743.28995,
Czechia,1352.53863,1465.30024,1463.36019,1543.28611,1589.84707,2353.44645,2552.5591,2701.58754,2875.96341,2765.16901,2798.94601,2925.66748,3161.81797,3258.82119,3428.21165,3619.29262,3547.21523,3721.12215,3911.20711,4033.88589,4194.94528,4568.60692,
Democratic Republic of the Congo,,,,,,,,,,,,,,,,10.417,,,,,,,
Denmark,,3635.18058,4757.17671,4618.71268,4840.80261,5193.64153,5295.85878,5517.50766,6502.25009,6670.91339,6759.59681,7042.34466,7172.05026,7102.16073,7345.6003,7561.01682,7873.96871,7683.44205,7635.77738,7727.23923,7667.30376,7707.72522,
Ecuador,,40.36271,42.44968,48.92034,,,70.92195,65.39456,103.76126,118.93083,141.95299,181.06016,283.21321,352.95276,402.29814,,,,,,,,
Egypt,,,,,,,,606.34212,420.69402,415.26903,472.0014,471.47939,495.29658,516.57225,646.059,643.47651,659.06477,647.85695,657.59182,791.01117,804.91071,821.7045,841.40224
El Salvador,,,,,,,,,,,,,,,,64.29578,66.97769,65.01456,72.8499,75.00583,59.22697,64.71527,
Estonia,1902.71054,1925.18422,2211.22673,2194.04619,2465.89901,2451.56305,2601.06812,2747.94835,2973.1105,3229.78409,3057.57419,3392.5966,3457.59653,3338.21656,3285.46121,3188.26123,3296.20731,3552.23048,3765.62187,3769.83693,3835.71868,4038.19516,
Eswatini,,,,,,,,,,,,,,,,139.10418,,,,,,,
Ethiopia,,,,,,21.0534,,19.98282,,,42.07121,,,44.55066,,,,90.24062,,,,,
Faeroe Islands,,,,1826.09619,,,,,,,,,,,,,,,,,,,
Finland,,,,,7855.53477,7558.74585,7689.17521,7390.55309,7712.37423,7669.30222,7741.02234,7442.09941,7492.54696,7223.02496,7022.44285,6856.33475,6543.96586,6731.79223,6872.98388,7246.27201,7548.50264,7870.6534,
France,2941.62216,3014.68642,3149.32828,3237.33748,3378.32904,3357.63388,3468.92918,3629.1389,3700.38954,3785.36297,3910.74586,3980.53861,4114.02461,4199.8373,4282.45681,4386.23641,4467.42812,4624.69676,4756.58412,4870.45612,4986.1801,5175.00557,
Gabon,,,,,,,,,,,,,,,,,,,,,,,
Gambia,,,,,,,,,86.48627,96.81479,,29.78849,,,,,,,49.97694,,,,
Georgia,,,,,,,,,,,,,,604.18312,1131.9813,1366.20434,1391.42457,1389.60565,1553.30612,1799.87186,1812.39011,1717.37086,1823.0265
Germany,3161.70853,3242.32654,3262.002,3303.97721,3323.91703,3349.95917,3446.71464,3583.23547,3727.23604,3905.90346,4035.21352,4162.49886,4325.22054,4343.31722,4304.86539,4733.35858,4862.6252,5087.25427,5239.97188,5428.21538,5413.82418,5535.95429,
Ghana,,,,,,,,16.76407,,,37.22973,,,,,86.97999,,,,,,,
Greece,,1299.69301,,1407.41838,,1762.64749,1791.58216,1893.01092,,,,2238.70339,2257.05104,2671.81011,2743.65512,3202.90399,2728.34421,3264.14594,3441.0649,3684.86922,4073.54743,4326.3066,
Greenland,,536.50737,539.99504,647.86047,702.3535,,,,,,,,,,,,,,,,,,
Guam,,,,276.0279,305.35656,292.21076,,,,,,,,,,,,,,,,,
Guatemala,,,,,,29.85844,24.48953,34.4552,39.01909,39.23645,25.20956,25.19244,27.43665,17.73949,20.74679,22.70032,22.67179,14.47812,13.27843,14.95745,17.29424,14.51904,
Honduras,,,,,,,,,,,,,,,,22.14679,,34.2629,201.23932,187.42656,,,
Hungary,1410.48985,1439.16421,1472.16902,1498.29295,1474.97267,1574.51253,1743.77352,1730.19555,1844.70392,2003.16649,2133.98297,2308.2169,2399.57173,2526.43738,2653.43818,2568.34766,2624.60598,2901.01543,3845.49153,4020.57775,4308.95424,4452.15175,
Iceland,,6555.77023,,6639.00702,,7332.90911,7994.13705,7170.94603,7308.43217,7836.39634,,7085.08502,,5737.33441,,5903.85334,6629.2432,6054.68115,5879.26569,,,6940.41702,
India,110.414,,,,,135.14469,,,,,156.49808,,,,,215.18774,,,251.01397,,260.38328,,
Indonesia,211.64549,198.15331,,,,,,,,89.15325,,,,,,,179.60322,216.37348,217.51867,391.34138,399.60761,,
Iran (Islamic Republic of),,,,,,,714.55464,,745.18278,707.96363,732.46443,,685.87595,667.2188,,800.89027,,1417.97595,,1597.33931,,,
Iraq,,,,,,,,367.19472,388.18091,404.147,417.6208,426.88565,,,66.08108,62.82107,61.98544,101.61423,106.5256,117.28555,135.29593,162.45588,
Ireland,2275.83092,2357.49957,2427.71678,2556.76247,2758.73474,2844.86744,2919.30748,2952.16588,3281.3392,3163.48171,3140.21749,3367.04792,4911.54369,5181.93608,5332.26672,5282.94951,5184.71517,5155.37079,4749.61714,4836.0744,4858.6072,5250.68228,
Israel,,,,,,,,,,,,,,,,,,,,,,,
Italy,1160.8279,1170.57891,1249.68594,1229.43024,1249.27485,1420.3074,1516.24228,1588.70637,1622.64308,1713.62329,1732.51833,1770.69443,1841.75359,1927.14664,1958.36322,2087.55758,2222.20841,2336.93888,2541.03826,2688.64671,2632.27982,2677.84078,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,
Japan,5112.47973,5144.21578,4898.50941,5120.0406,5123.81486,5327.72377,5357.18264,5347.83961,5128.17461,5117.22299,5119.99401,5126.90317,5052.14947,5169.26498,5352.76243,5198.09749,5235.15675,5331.27133,5361.96599,5409.53544,5495.25074,5638.41792,
Jordan,,,,,,,,,,,,,,,,255.61434,575.32083,577.9223,,,,,
Kazakhstan,,,,,,,,401.13413,370.9917,343.22066,364.76857,380.018,603.82989,728.81536,791.05872,770.84599,688.84224,661.72592,662.98622,633.65202,686.17575,626.47176,681.50598
Kenya,,,,,,,,56.1761,,,227.22769,,,,,,,,,,,,169.27141
Kuwait,169.96302,171.12247,171.30053,172.5396,175.27158,176.24097,171.03191,193.85194,156.2809,147.62202,141.91425,136.14753,134.29738,,606.74738,404.73611,465.2199,504.9046,503.72785,175.58415,165.83262,,181.98084
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,
Lao People's Democratic Republic,,,15.63722,,,,,,,,,,,,,,,,,,,,
Latvia,1583.25979,1471.73631,1473.27905,1386.64372,1458.66885,1459.90207,1773.94727,1898.51247,2020.81205,1693.37992,1842.77567,1889.54831,1890.47542,1775.06129,1854.72018,1805.33736,1589.81469,1772.61368,1776.50389,1885.90386,2135.01786,2404.52392,
Lesotho,,,6.0026,7.51529,10.0496,,,,,22.87199,,5.86321,,,,23.57219,,,,,,,
Lithuania,2149.71729,2254.58651,1787.66416,1891.26405,2134.37139,2247.01315,2383.27621,2567.67867,2596.92348,2651.92252,2721.62714,2690.37014,2603.96973,2809.61132,3014.18711,2741.43842,2891.36342,2994.60998,3092.74534,3364.46717,3590.74721,3935.08527,
Luxembourg,3804.61798,,,4349.9124,4466.7523,4831.54672,4381.91941,4622.94414,4729.18217,4855.42528,5203.42105,5529.65696,4405.27173,4664.50287,4785.04605,4637.83878,4802.84536,4971.16521,4756.47013,5092.30827,4690.30266,4940.60373,
Madagascar,15.02566,49.93868,46.46461,46.60823,47.15331,47.46821,47.1503,47.72355,46.00315,44.68749,51.30003,50.1835,,,,,24.43313,30.30991,33.72828,,,,
Malawi,,,,,,,,30.49596,,,50.46688,,,,,,,,,,,,
Malaysia,283.59822,,300.20662,,506.0544,,369.77965,,596.89027,1059.48639,1448.06477,1632.02961,1769.19535,,2020.07743,2265.20079,2349.77281,,2139.51967,,726.45719,,
Mali,,,,,,,38.28852,,,,28.96691,,,,,30.16921,,32.0137,,56.61281,,29.31642,
Malta,,,674.0231,680.05421,1068.65888,1169.4079,1268.23545,1195.37013,1311.27992,1192.57705,1408.44732,1773.07072,1965.27698,1855.05213,1784.26271,1817.2027,1939.75502,1970.44959,1866.12509,1886.77729,1983.92841,2160.72659,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,,,,,,,,,,,,,177.00517,,,,,,463.61583,540.26017,552.95846,556.9283,569.00982
Mexico,228.88862,237.14062,310.84188,330.03428,385.00331,419.4501,341.56055,352.50252,345.29876,389.36771,344.54094,351.41017,253.05754,256.73706,265.29368,286.94249,321.8083,320.14698,317.40691,335.13871,357.97889,384.08649,
Monaco,,,,,278.80177,310.63618,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,332.19112,680.27068,533.64037
Montenegro,,,,,,,,,,,,643.84552,,637.64941,663.70914,824.98916,708.58413,696.82667,757.903,743.38011,,,
Morocco,,,,,,,651.94977,643.34041,658.62889,,721.87716,848.02926,853.22929,,1029.25159,,1080.70684,,,,,,
Mozambique,,,,,,,16.46355,,20.58582,12.31576,40.11925,,,,,43.95184,,,,,,,
Myanmar,,12.53821,18.09746,,,,,,,,,,,,,,,29.79052,33.86079,30.17835,32.55807,18.96736,
Namibia,,,,,,,,,,,,,,,152.83038,,,,,,,,
Nepal,,,59.63873,,,,,,,,,,,,,,,,,,,,
Netherlands,2661.08676,2860.24475,2738.60506,2721.96539,2994.80133,2948.47882,3262.01739,3121.27165,3088.45654,2846.48609,3239.88585,3681.86282,4373.73496,4920.68846,4950.79369,4911.12758,5128.77161,5302.34455,5535.47607,5640.24547,5865.72665,6074.31065,
New Zealand,,2670.81198,,3102.23914,,3161.05587,,3474.11015,,3761.67873,,3732.61814,,4045.25351,,5492.04192,,5098.76412,,5724.13122,,5102.2701,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,
Niger,,9.21913,8.497,7.89053,8.07425,7.42341,,,,,,,,26.7567,,,,,,,,,
Nigeria,,,,,,,,38.80536,,,,,,,,,,,,22.82526,,,
North Macedonia,652.54895,606.24669,564.66589,540.59857,515.37768,535.72924,510.6302,498.47097,464.35589,427.71354,526.78908,440.24434,604.78336,667.36358,827.23826,847.24243,842.85206,719.23357,788.03723,775.3953,775.23718,743.68667,642.37487
Norway,,4370.86422,,4513.27362,4513.57942,4602.01192,4865.63037,5201.40475,5398.92477,5473.88607,5444.0477,5533.26799,5583.45288,5604.37122,5722.0124,5929.21678,6120.12967,6395.43983,6483.52599,6736.85143,6765.33242,7227.93066,
Oman,,,,,,,,,,,,158.95203,179.05363,134.38907,182.16131,222.01293,249.89385,251.47211,296.09371,382.4452,372.68235,330.34504,381.76595
