"country","year","life_expectancy_at_birth_SEX_MLE","life_expectancy_at_birth_SEX_BTSX","life_expectancy_at_birth_SEX_FMLE","bcg_immunization_coverage","dtp_immunization_coverage","hepb3_immunization_coverage","hib3_immunization_coverage","hpv_immunization_coverage","mcv1_immunization_coverage","mcv2_immunization_coverage","pab_immunization_coverage","pcv3_immunization_coverage","pol3_immunization_coverage","rotac_immunization_coverage","che_%_of_gdp","ext_%_of_che","gghe-d_%_of_che","oop_%_of_che","pvt-d_%_of_che","alc_consump_per_capita_liters_SEX_MLE","alc_consump_per_capita_liters_SEX_FMLE","alc_consump_per_capita_liters_SEX_BTSX","alc_expenditure_%_of_household","preterm_birth_rate_per_100","low_birth_weight_prevalence","pregnant_women_anaemia_prevalence_SEX_FMLE","pregnant_women_anaemia_prevalence_SEVERITY_MODERATE","pregnant_women_anaemia_prevalence_SEVERITY_MILD","pregnant_women_anaemia_prevalence_SEVERITY_TOTAL","pregnant_women_anaemia_prevalence_SEVERITY_SEVERE","pregnant_women_mean_hemoglobin","children_anaemia_prevalence_SEX_BTSX","children_anaemia_prevalence_SEVERITY_MILD","children_anaemia_prevalence_SEVERITY_MODERATE","children_anaemia_prevalence_SEVERITY_TOTAL","children_anaemia_prevalence_SEVERITY_SEVERE","children_mean_hemoglobin","thin_children_prevalence_SEX_FMLE_AGEGROUP_YEARS05-09","thin_children_prevalence_SEX_BTSX_AGEGROUP_YEARS05-19","thin_children_prevalence_SEX_MLE_AGEGROUP_YEARS05-19","thin_children_prevalence_SEX_FMLE_AGEGROUP_YEARS05-19","thin_children_prevalence_SEX_MLE_AGEGROUP_YEARS05-09","thin_children_prevalence_SEX_MLE_AGEGROUP_YEARS10-19","thin_children_prevalence_SEX_BTSX_AGEGROUP_YEARS10-19","thin_children_prevalence_SEX_FMLE_AGEGROUP_YEARS10-19","thin_children_prevalence_SEX_BTSX_AGEGROUP_YEARS05-09","overweight_children_prevalence_SEX_MLE_AGEGROUP_YEARS05-09","overweight_children_prevalence_SEX_FMLE_AGEGROUP_YEARS10-19","overweight_children_prevalence_SEX_MLE_AGEGROUP_YEARS05-19","overweight_children_prevalence_SEX_MLE_AGEGROUP_YEARS10-19","overweight_children_prevalence_SEX_BTSX_AGEGROUP_YEARS05-19","overweight_children_prevalence_SEX_FMLE_AGEGROUP_YEARS05-09","overweight_children_prevalence_SEX_BTSX_AGEGROUP_YEARS05-09","overweight_children_prevalence_SEX_FMLE_AGEGROUP_YEARS05-19","overweight_children_prevalence_SEX_BTSX_AGEGROUP_YEARS10-19","obese_children_prevalence_SEX_BTSX_AGEGROUP_YEARS05-09","obese_children_prevalence_SEX_FMLE_AGEGROUP_YEARS05-19","obese_children_prevalence_SEX_MLE_AGEGROUP_YEARS05-09","obese_children_prevalence_SEX_FMLE_AGEGROUP_YEARS05-09","obese_children_prevalence_SEX_FMLE_AGEGROUP_YEARS10-19","obese_children_prevalence_SEX_BTSX_AGEGROUP_YEARS05-19","obese_children_prevalence_SEX_MLE_AGEGROUP_YEARS05-19","obese_children_prevalence_SEX_MLE_AGEGROUP_YEARS10-19","obese_children_prevalence_SEX_BTSX_AGEGROUP_YEARS10-19","underweight_adults_prevalence_SEX_FMLE","underweight_adults_prevalence_SEX_BTSX","underweight_adults_prevalence_SEX_MLE","overweight_adults_prevalence_SEX_BTSX","overweight_adults_prevalence_SEX_MLE","overweight_adults_prevalence_SEX_FMLE","obese_adults_prevalence_SEX_BTSX","obese_adults_prevalence_SEX_MLE","obese_adults_prevalence_SEX_FMLE"
"SOM",2008,48.03754,50.31128,52.79263,36,31,NA,NA,NA,34,NA,49,NA,40,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,50.3,24.9,22.3,50.3,3.1,109,60.8,22.5,33.9,60.8,4.4,104,4.83493,7.91363,10.15159,5.60852,6.81625,12.46357,9.35221,6.14554,5.8398,7.9185,9.93633,5.51684,3.85205,7.31023,8.03542,7.97612,9.15743,6.8483,2.31958,1.86159,2.4953,2.13874,1.66918,1.68123,1.50612,0.82045,1.23842,13.54489,19.51725,25.6532,21.62248,11.80741,31.17586,6.9201,2.27796,11.43847
"BTN",2002,67.32682,67.84567,68.42729,83,86,83,NA,NA,78,NA,87,NA,89,NA,4.6,8.89,72.41,10.3,18.7,3.47888,0.74119,2.20292,NA,NA,12.2,46.3,21.1,23.2,46.3,2,111,65.4,24.1,37,65.4,4.3,102,8.39226,12.52881,16.58016,8.21672,15.2913,17.23018,12.84279,8.1255,11.91524,6.06687,7.45274,6.05737,6.05258,6.51335,6.12489,6.09526,6.99867,6.72729,2.25611,1.63159,2.22914,2.28426,1.29243,1.70167,1.76751,1.53469,1.41795,10.74457,11.4368,12.03556,21.17286,18.32123,24.46961,3.46112,2.53815,4.52817
"BHR",2011,73.40671,74.19533,75.20536,NA,99,99,99,NA,99,96,94,99,99,96,3.87,0,65.33,26.32,34.67,3.20623,0.51138,2.26597,NA,10.04768,11.5,34.6,13.4,20.7,34.6,0.5,115,22.4,16.5,5.8,22.4,0.1,118,4.99521,6.10039,7.03319,5.10825,7.82024,6.59807,5.91059,5.17242,6.43934,27.65954,35.6574,32.03264,34.45031,31.80696,24.36061,26.04699,31.56692,35.0324,13.23863,14.14534,15.29556,11.08753,15.88104,15.07593,15.95086,16.31315,16.10477,3.10068,3.2567,3.33826,63.97219,62.50758,66.77366,30.62584,27.49182,36.62053
"SAU",2005,70.90168,71.81635,73.12227,96,96,97,96,NA,97,97,NA,NA,96,NA,3.42,NA,72.5,16.49,27.5,0,0,0,NA,NA,NA,30.8,12.2,17.8,30.8,0.7,116,26.2,17.4,8.5,26.2,0.2,117,11.39987,9.55774,11.37627,7.72511,12.98091,10.37631,7.96664,5.60912,12.21297,18.10751,26.78664,24.39824,28.31841,23.65806,16.18344,17.17295,22.91214,27.54414,7.02896,8.89125,7.96871,6.03396,10.53653,9.96287,11.02625,12.9316,11.72096,3.83531,3.93811,4.00327,62.74217,61.85685,64.13873,28.36762,24.56814,34.36126
"CYP",2003,76.86013,79.11244,81.38918,NA,97,89,61,NA,86,NA,NA,NA,97,NA,5.64,0.58,43.95,47.65,55.47,15.223,4.34255,9.78911,NA,NA,NA,18.3,6.3,11.5,18.3,0.5,120,13,10.2,2.7,13,0.1,122,2.98576,1.95562,1.64985,2.28466,2.23894,1.3934,1.6703,1.97083,2.60226,33.92794,22.95384,33.80283,33.74837,29.21823,27.25767,30.68292,24.28465,28.57197,13.70197,7.23066,16.95908,10.26398,5.87286,11.13663,14.76631,13.81172,10.00472,2.89537,1.86199,0.82512,53.64404,60.01288,47.29666,19.5863,19.61341,19.55929
"DNK",2014,78.61687,80.51401,82.37364,NA,94,NA,94,66,90,84,NA,93,94,NA,10.31,0,84.44,13.34,15.56,14.98819,4.36156,9.60146,1.7,6.27428,5,16.5,5.1,11.1,16.5,0.3,120,13.3,10.9,2.4,13.3,0,122,1.14454,1.90811,1.90843,1.90778,1.16335,2.26649,2.27056,2.27484,1.15417,25.32711,15.74835,24.49813,24.09975,20.67961,18.58758,22.03858,16.67039,20.0263,5.30291,3.54715,6.37297,4.17999,3.24279,5.12223,6.62239,6.74225,5.03537,2.96504,1.96003,0.92303,48.2304,58.11895,38.64693,13.78926,15.76871,11.87088
"PHL",2007,65.66106,69.58191,74.04585,90,87,87,NA,NA,92,NA,58,NA,87,NA,3.75,1.95,31.32,55.97,66.73,8.9884,2.1747,5.58851,NA,NA,21,39.2,18.2,18.9,39.2,2.1,112,26.3,15.8,9.2,26.3,1.3,116,7.29011,10.09815,11.89176,8.20734,8.51513,13.76052,11.29244,8.70634,7.92217,7.08556,7.02159,6.57038,6.28525,6.74311,6.74805,6.92219,6.92521,6.64482,2.8507,1.80345,3.3113,2.35973,1.50081,2.10783,2.39656,1.8903,1.7001,14.34484,13.13933,11.93447,23.52249,20.55189,26.49472,4.53507,3.31848,5.75233
"MAR",2020,71.19044,72.50616,73.86985,99,99,99,99,NA,99,99,90,98,99,98,5.84,2.05,42.23,43.69,55.72,0.87828,0.11586,0.49741,NA,NA,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.95624,4.07456,5.20197,2.89657,3.63231,6.0762,4.50147,2.86378,3.30312,18.75654,21.62959,19.42923,19.80389,20.04352,18.96764,18.85932,20.68537,20.69884,6.20627,5.59844,5.83638,6.59604,5.05007,5.47224,5.35145,5.08137,5.06603,4.35391,5.43834,6.5232,54.17073,45.14781,63.19017,20.90147,12.79804,29.00177
"WSM",2004,68.4067,70.17537,72.08096,93,63,62,NA,NA,25,45,NA,NA,35,NA,4.53,19.41,66.75,12.99,13.85,6.59796,1.41431,4.09511,NA,NA,NA,40.9,17.4,22.4,40.9,1.1,114,34.8,20.4,13.6,34.8,0.7,114,0.77148,0.95212,1.10279,0.78748,1.38127,0.92951,0.86693,0.79774,1.08709,34.94321,45.67413,36.60404,37.63742,37.20223,25.66131,30.46533,37.85589,41.45453,9.95125,12.08818,11.94938,7.80759,14.83257,11.94433,11.81269,11.72763,13.20235,0.57812,0.40232,0.23716,81.08274,76.30819,86.16461,47.61583,36.86821,59.05521
"JOR",2014,78.39097,77.96985,78.34868,95,98,98,98,NA,98,98,90,NA,98,NA,7.21,5.89,64.48,20.89,29.64,0.64875,0.09132,0.38359,NA,8.69535,17.4,32,12.2,19.4,32,0.4,116,30.9,19.7,11,30.9,0.2,116,4.01664,3.9597,4.59978,3.29287,4.39723,4.7138,3.81717,2.87188,4.20885,32.68858,29.96652,31.87968,31.42433,31.16708,31.2124,31.95792,30.42469,30.71468,15.74225,11.27261,17.95037,13.48923,9.98329,13.45682,15.55342,14.20407,12.14943,2.6723,2.91545,3.13389,65.47469,62.87379,68.36973,32.85075,28.26386,37.9564
