Location,Period,hpv_9_14_yo_girls_perc
Albania,2023,74
Albania,2022,15
Andorra,2023,85
Andorra,2022,83
Andorra,2021,83
Andorra,2020,77
Andorra,2019,64
Andorra,2018,49
Antigua and Barbuda,2023,1
Antigua and Barbuda,2022,2
Antigua and Barbuda,2021,2
Argentina,2023,36
Argentina,2022,54
Argentina,2021,55
Argentina,2020,46
Argentina,2019,60
Argentina,2018,59
Argentina,2017,52
Argentina,2016,58
Argentina,2015,52
Argentina,2014,57
Argentina,2013,60
Argentina,2012,43
Argentina,2011,36
Armenia,2023,41
Armenia,2022,15
Armenia,2021,9
Armenia,2020,10
Armenia,2019,8
Armenia,2018,2
Australia,2023,71
Australia,2022,58
Australia,2021,66
Australia,2020,67
Australia,2019,80
Australia,2018,75
Australia,2017,72
Australia,2016,71
Australia,2015,68
Australia,2014,66
Australia,2013,66
Australia,2012,65
Australia,2011,63
Australia,2010,67
Austria,2023,53
Austria,2022,53
Austria,2021,53
Austria,2020,45
Austria,2019,35
Austria,2018,26
Austria,2017,17
Austria,2016,9
Austria,2015,5
Bahamas,2023,9
Bahamas,2022,8
Bahamas,2021,4
Bahamas,2020,4
Bahamas,2019,8
Bahamas,2018,9
Bahamas,2017,16
Bahamas,2016,18
Bahamas,2015,2
Bangladesh,2023,21
Barbados,2023,50
Barbados,2022,15
Barbados,2021,27
Barbados,2020,7
Barbados,2019,28
Barbados,2018,26
Barbados,2017,15
Barbados,2016,15
Barbados,2015,31
Barbados,2014,8
Belgium,2023,72
Belgium,2022,69
Belgium,2021,69
Belgium,2020,69
Belgium,2019,68
Belgium,2018,67
Belgium,2017,66
Belgium,2016,65
Belgium,2015,64
Belgium,2014,62
Belgium,2013,61
Belgium,2012,59
Belize,2023,41
Belize,2022,7
Belize,2021,5
Belize,2020,12
Belize,2019,63
Belize,2018,54
Belize,2017,51
Bhutan,2023,87
Bhutan,2022,71
Bhutan,2021,90
Bhutan,2020,83
Bhutan,2019,74
Bhutan,2018,94
Bhutan,2017,94
Bhutan,2016,95
Bhutan,2015,94
Bhutan,2014,94
Bhutan,2013,68
Bhutan,2012,77
Bhutan,2011,74
Bhutan,2010,95
Bolivia (Plurinational State of),2023,67
Bolivia (Plurinational State of),2022,45
Bolivia (Plurinational State of),2021,34
Bolivia (Plurinational State of),2020,23
Bolivia (Plurinational State of),2019,66
